CLUBS NAMES ,DESCRIPTION,INSTAGRAM LINK,youtube link
STENTORIAN,"Stentorian, the English Literature Club of VNR VJIET, founded in 2013, is a creative hub for students to express themselves through writing, speaking, and art. The club organizes events like open mics, creative competitions, and Model UNs, and publishes a monthly magazine, Strident. With initiatives like Chromoframe (graphic design wing) and the Word of the Day display, Stentorian fosters creativity, communication, and a vibrant literary community on campus.",https://www.instagram.com/stentorian_vnrvjiet/,
ART OF LIVING,"Art of Living at VNR VJIET is a student club focused on promoting mental well-being, mindfulness, and personal growth. It conducts workshops and sessions on stress management, meditation, and emotional resilience, helping students enhance focus, confidence, and overall life balance. The club also fosters community engagement, encouraging a supportive and positive campus environment.",https://www.instagram.com/vnr.aol.club/,
DRAMATRIX,"Dramatrix is the official drama club of VNR Vignana Jyothi Institute of Engineering and Technology (VNRVJIET), Hyderabad. The club provides a platform for students interested in theater and performing arts, engaging in activities like acting, scriptwriting, stage performances, and editing. Dramatrix organizes diverse productions such as skits, monologues, street plays, mime acts, and stand-up comedy, allowing students to express creativity and showcase their talent in various dramatic forms.",https://www.instagram.com/dramatrixatvnr/,
LIVE WIRE,"Livewire is the official all-style dance crew of VNR Vignana Jyothi Institute of Engineering and Technology (VNRVJIET), Hyderabad. The crew specializes in hip-hop, contemporary, and fusion dance forms, providing students a platform to express their creativity through dance. Livewire actively participates in campus events, cultural fests, and competitions, showcasing energetic and innovative performances that blend modern styles with cultural influences.","https://www.instagram.com/livewire.crew/


",https://www.youtube.com/@livewirecrew
NRITHYA TARANG,"Nrithya Tarang is the classical dance club of VNR Vignana Jyothi Institute of Engineering and Technology (VNRVJIET), Hyderabad. The club is dedicated to promoting Indian classical dance forms such as Bharatanatyam, Kuchipudi, Odissi, and Kathak. It provides a platform for students to learn, perform, and showcase traditional dance, actively participating in cultural events and college festivals to preserve and celebrate India’s rich dance heritage.",https://www.instagram.com/nrithyatarang/,
SCINTILLATE,"Scintillate, the Photography Club of VNR VJIET, is a creative space for students passionate about photography and videography. The club captures moments from college events, conducts photo walks, and organizes workshops to enhance technical and artistic skills. Scintillate encourages students to explore visual storytelling and express creativity through the lens.",https://www.instagram.com/scintillatevnrvjiet/,
VJ TEATRO,"VJ Teatro, the film-making club of VNR VJIET, focuses on all aspects of production including acting, direction, scriptwriting, editing, and photography. The club creates short films that raise awareness on trending topics while promoting creativity and teamwork. With multiple awards and finalist positions in film competitions, VJ Teatro provides a dynamic platform for students to explore and showcase their talent in cinema.","https://www.instagram.com/vjteatro/

",https://www.youtube.com/@shootitloveit
 VJ SAHITHI VANAM,"VJ Sahithi Vanam is the Telugu Literary Club of VNR VJIET that celebrates Telugu language and culture. The club encourages students to express their creativity through poetry, storytelling, debates, and literary discussions. It aims to preserve and promote Telugu heritage while building a community of passionate writers and speakers.",https://www.instagram.com/vj.sahitivanam/,
CRESCENDO(MUSIC CLUB),"Crescendo, the Music Club of VNR VJIET, provides a platform for students passionate about singing, instruments, and composing. Open to all skill levels, it encourages collaboration through jam sessions and performances. The club actively competes in intercollegiate events and has earned several achievements, including runners-up at Saarang, IIT Madras, and multiple wins at BITS Hyderabad, IITH, Gitam, NIFT, and others. Crescendo continues to inspire students to learn, perform, and celebrate music together.",https://www.instagram.com/crescendo_vnrvjiet/,
CREATIVE ARTS,"Creative Arts Club at VNR VJIET is a student-run club that nurtures creativity and artistic expression. It provides a platform for students to explore various art forms such as painting, sketching, doodling, and craftwork. The club organizes workshops, competitions, and events, encouraging students to showcase their talents and contribute to the cultural vibrancy of the campus.",https://www.instagram.com/creativearts_vnr/,
